data_pozyskania,zestawienie_zrodel_ciepla,liczba_budynkow,udzial_procentowy
2026-05-20,kocioł gazowy,1203430,19.12
2026-05-20,kocioł kl. 3 lub kl. 4,778088,12.36
2026-05-20,kocioł olejowy,32627,0.52
2026-05-20,kocioł pozaklasowy,1133439,18.0
2026-05-20,kocioł zasypowy kl. 5 lub ekoprojekt,144057,2.29
2026-05-20,miejska sieć ciepłownicza,40094,0.64
2026-05-20,mix źródeł bezemisyjnych,2438,0.04
2026-05-20,mix źródeł bezemisyjnych + źródeł niskoemisyjnych,24672,0.39
2026-05-20,mix źródeł na paliwa stałe 1 (kocioł pozaklasowy + ogrzewacz),309406,4.91
2026-05-20,mix źródeł na paliwa stałe 2 (w tym kocioł kl. 5 lub ekoprojekt),84741,1.35
2026-05-20,mix źródeł na paliwa stałe 3 (pozostałe przypadki),112126,1.78
2026-05-20,mix źródeł niskoemisyjnych,982,0.02
2026-05-20,ogrzewacz na paliwo stałe,545574,8.67
2026-05-20,ogrzewanie elektryczne,57989,0.92
2026-05-20,pompa ciepła,219430,3.49
2026-05-20,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł kl. 5 lub ekoprojekt,33255,0.53
2026-05-20,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł poniżej klasy 5,208716,3.32
2026-05-20,źródła c.o. niskoemisyjne lub bezemisyjne + mix źródeł na paliwa stałe,66285,1.05
2026-05-20,źródła c.o. niskoemisyjne lub bezemisyjne + ogrzewacz na paliwa stałe,749997,11.91
2026-05-22,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NA PALIWA STAŁE,3569368,56.69
2026-05-22,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NISKOEMISYJNYMI / BEZEMISYJNYMI,1582014,25.13
2026-05-22,BUDYNKI ZE ŹRÓDŁAMI NA PALIWA STAŁE ORAZ NISKOEMISYJNYMI / BEZEMISYJNYMI,1058474,16.81
2026-05-22,DANE DO WERYFIKACJI,85968,1.37
2026-05-22,Dane do weryfikacji,85968,1.37
2026-05-22,kocioł automatyczny kl. 5 lub ekoprojekt,462224,7.34
2026-05-22,kocioł gazowy,1203644,19.12
2026-05-22,kocioł kl. 3 lub kl. 4,777969,12.36
2026-05-22,kocioł olejowy,32631,0.52
2026-05-22,kocioł pozaklasowy,1133225,18.0
2026-05-22,kocioł zasypowy kl. 5 lub ekoprojekt,144081,2.29
2026-05-22,miejska sieć ciepłownicza,40098,0.64
2026-05-22,mix źródeł bezemisyjnych,2439,0.04
2026-05-22,mix źródeł bezemisyjnych + źródeł niskoemisyjnych,24673,0.39
2026-05-22,mix źródeł na paliwa stałe 1 (kocioł pozaklasowy + ogrzewacz),309384,4.91
